county_name,year,population,fips_code
".Autauga County, Alabama",2020,58909.0,
".Autauga County, Alabama",2021,59191.0,
".Autauga County, Alabama",2022,59736.0,
".Autauga County, Alabama",2023,60436.0,
".Autauga County, Alabama",2024,61464.0,
".Baldwin County, Alabama",2020,233244.0,
".Baldwin County, Alabama",2021,239411.0,
".Baldwin County, Alabama",2022,246577.0,
".Baldwin County, Alabama",2023,254107.0,
".Baldwin County, Alabama",2024,261608.0,
".Barbour County, Alabama",2020,24975.0,
".Barbour County, Alabama",2021,24517.0,
".Barbour County, Alabama",2022,24722.0,
".Barbour County, Alabama",2023,24644.0,
".Barbour County, Alabama",2024,24358.0,
".Bibb County, Alabama",2020,22176.0,
".Bibb County, Alabama",2021,22344.0,
".Bibb County, Alabama",2022,21983.0,
".Bibb County, Alabama",2023,21890.0,
".Bibb County, Alabama",2024,22258.0,
".Blount County, Alabama",2020,59110.0,
".Blount County, Alabama",2021,59050.0,
".Blount County, Alabama",2022,59491.0,
".Blount County, Alabama",2023,59777.0,
".Blount County, Alabama",2024,60163.0,
".Bullock County, Alabama",2020,10230.0,
".Bullock County, Alabama",2021,10126.0,
".Bullock County, Alabama",2022,10126.0,
".Bullock County, Alabama",2023,9908.0,
".Bullock County, Alabama",2024,9901.0,
".Butler County, Alabama",2020,19027.0,
".Butler County, Alabama",2021,18856.0,
".Butler County, Alabama",2022,18652.0,
".Butler County, Alabama",2023,18357.0,
".Butler County, Alabama",2024,18256.0,
".Calhoun County, Alabama",2020,116242.0,
".Calhoun County, Alabama",2021,115633.0,
".Calhoun County, Alabama",2022,115744.0,
".Calhoun County, Alabama",2023,116403.0,
".Calhoun County, Alabama",2024,116427.0,
".Chambers County, Alabama",2020,34572.0,
".Chambers County, Alabama",2021,34396.0,
".Chambers County, Alabama",2022,34093.0,
".Chambers County, Alabama",2023,34087.0,
".Chambers County, Alabama",2024,33813.0,
".Cherokee County, Alabama",2020,24981.0,
".Cherokee County, Alabama",2021,25060.0,
".Cherokee County, Alabama",2022,25334.0,
".Cherokee County, Alabama",2023,25700.0,
".Cherokee County, Alabama",2024,26138.0,
".Chilton County, Alabama",2020,45060.0,
".Chilton County, Alabama",2021,45255.0,
".Chilton County, Alabama",2022,45856.0,
".Chilton County, Alabama",2023,46525.0,
".Chilton County, Alabama",2024,47262.0,
